sample_id,rmse_vt,rmse_euclid,improve_%_euclid_vs_vt
0,0.003702460089698434,0.0012352482881397009,66.63709374631819
1,0.005165751092135906,0.000790473772212863,84.69779594562307
2,0.007283525541424751,0.0011785260867327452,83.81929079718167
3,0.00084773387061432,0.001057233544997871,-24.712905948255376
4,0.008887965232133865,0.000796034000813961,91.0436868176938
5,0.0005191550008021295,0.001691163401119411,-225.75307880092046
6,0.024063244462013245,0.0018065802287310362,92.49236638680264
7,0.0202762633562088,0.0020685079507529736,89.79837697256207
8,0.014110295102000237,0.0014837506460025907,89.48462355909832
9,0.0007213564240373671,0.0009979169117286801,-38.33895118865641
10,0.04374629259109497,0.0046163033694028854,89.44755521697155
11,0.0053170230239629745,0.0018651568097993731,64.9210318999444
12,0.017305446788668633,0.0012579194735735655,92.73107773603081
13,0.0007206106674857438,0.0011062114499509335,-53.510279451659024
14,0.012318582274019718,0.001222748658619821,90.07394980752471
15,0.020661912858486176,0.0012595144798979163,93.90417291243364
16,0.0007896075258031487,0.0015244717942550778,-93.06702931608866
17,0.0009970718529075384,0.0009646133985370398,3.2553776584198544
18,0.0006376258097589016,0.0019224355928599834,-201.49902363141518
19,0.0003673802420962602,0.0008484990103170276,-130.95934723269963
20,0.016121214255690575,0.0028527628164738417,82.30429313790742
21,0.02336873486638069,0.001857921713963151,92.04954086942664
22,0.021590877324342728,0.0025326982140541077,88.26959100878545
23,0.009555901400744915,0.002111481036990881,77.90390514488436
24,0.009133270010352135,0.0019243726273998618,78.93008061726002
25,0.010044374503195286,0.0025227575097233057,74.88387644576959
26,0.02379508875310421,0.004337893798947334,81.76979357053615
27,0.0006017035339027643,0.0009256934281438589,-53.84543640639432
28,0.004677905235439539,0.000803210714366287,82.82969246342344
29,0.020433325320482254,0.0019655944779515266,90.38044739157053
30,0.001918588881380856,0.0008278515306301415,56.85102007873483
31,0.02042948082089424,0.002607684349641204,87.2356797836656
32,0.008515618741512299,0.001661632559262216,80.4872363300286
33,0.006100338418036699,0.0010016411542892456,83.58056411815569
34,0.002627794397994876,0.0007986510172486305,69.60755306601946
35,0.009893367998301983,0.0013578793732449412,86.27485226122444
36,0.033884674310684204,0.002908755326643586,91.41571997745133
37,0.06153702735900879,0.001472229603677988,97.60757113588696
38,0.013416584581136703,0.001423405366949737,89.39070253509297
39,0.012397943064570427,0.002029968658462167,83.62656894997792
40,0.0335087813436985,0.0018825462320819497,94.38193166824973
41,0.002857689280062914,0.0015914601972326636,44.30954377094763
42,0.001030404819175601,0.0009308760636486113,9.659189628987573
43,0.025896886363625526,0.002097630174830556,91.90006803792497
44,0.009817239828407764,0.0014719583559781313,85.00639301314767
45,0.03776227682828903,0.0051116254180669785,86.46367261652424
46,0.04225662350654602,0.002778718713670969,93.42418185831919
47,0.018592845648527145,0.001269819913432002,93.1703842522659
48,0.0006705902051180601,0.0014267457881942391,-112.75971169537999
49,0.01316005177795887,0.0012492157984524965,90.50751607641982
50,0.007195900194346905,0.0010727924527600408,85.09161571676962
51,0.00047471796278841794,0.0012946315109729767,-172.7159304529699
52,0.001292083179578185,0.0009186901734210551,28.898526950102628
53,0.0004411784466356039,0.0018531703390181065,-320.0500613640022
54,0.005704761482775211,0.0011567802866920829,79.72254771769062
55,0.013267846778035164,0.001615289831534028,87.82553145634463
56,0.0021065506152808666,0.0010813436238095164,48.66756979622745
57,0.019767655059695244,0.001295354450121522,93.44710109952737
58,0.018904663622379303,0.0018736626952886581,90.08888635303985
59,0.0007934939349070191,0.0009851475479081273,-24.15312888081932
60,0.018340351060032845,0.0013401590986177325,92.69283834776138
61,0.000599563296418637,0.0007794360863044858,-30.000633904756015
62,0.0005311907734721899,0.0007915454334579408,-49.01340017519103
63,0.0039322031661868095,0.0014361990615725517,63.47597004759948
